medal_date,medal_type,medal_code,name_x,gender_x,country_code_x,country_x,country_long_x,nationality_x,team,team_gender,discipline,event,event_type,url_event,birth_date_x,code_athlete,code_team,name_y,name_short,name_tv,gender_y,function,country_code_y,country_y,country_long_y,nationality_y,nationality_full,nationality_code,height,weight,disciplines,events,birth_date_y,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
2024-07-27,Silver Medal,2.0,MALLO-BRETON Auriane,Female,FRA,France,France,France,,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000100--,1993-10-11,1916183,,MALLO-BRETON Auriane,MALLO-BRETON A,Auriane MALLO-BRETON,Female,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Fencing'],"[""Women's Épée Individual"", ""Women's Épée Team""]",1993-10-11,LYON,France,SAINT-MAUR-DES-FOSSES,France,Blondiii,,"Athlete, physiotherapist",Graduated with a degree in Physiotherapy (2018) from National School of Physiotherapy and Rehabilitation (FRA),"Husband, Jules. Son, Mathis (born 2021)",French,National: Herve Faget (FRA),Discovered the epee discipline thanks to her two brothers who were also fencers,Her mother,Coach Remy Delhomme,"""I take things (events) as they come, without putting pressure on myself, and we'll see what happens."" (20minutes.fr, 19 Jun 2013)","Brother, Axel (fencing), four-time national championship medallist (two silver, two bronze).</p><p>Brother, Robin (fencing), four-time national championship medallist (one gold, three bronze).</p><p>Father, Eric (fencing), served as a vice president of the Lyon Epee Metropole club in France.</p><p>Husband, Jules (ice hockey), competed in the Ligue Magnus, the French men's top division",,
2024-07-27,Bronze Medal,3.0,MUHARI Eszter,Female,HUN,Hungary,Hungary,Hungary,,,Fencing,Women's Épée Individual,HATH,/en/paris-2024/results/fencing/women-s-epee-individual/fnl-000200--,2002-09-30,1946375,,MUHARI Eszter,MUHARI E,Eszter MUHARI,Female,Athlete,HUN,Hungary,Hungary,Hungary,Hungary,HUN,0,0.0,['Fencing'],"[""Women's Épée Individual""]",2002-09-30,BUDAPEST,Hungary,,United States,,,"Athlete, student","Studying for a Bachelor's degree in Business Administration and Management at the University of Notre Dame (IN, USA)",,Hungarian,Club: Gia Kvaratskhelia (University of Notre Dame),,,,,,,
2024-07-27,Gold Medal,1.0,SMETOV Yeldos,Male,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1992-09-09,1935408,,SMETOV Yeldos,SMETOV Y,Yeldos SMETOV,Male,Athlete,KAZ,Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan,KAZ,0,0.0,['Judo'],"['Men -60 kg', 'Mixed Team']",1992-09-09,TARAZ,Kazakhstan,ALMA-ATA,Kazakhstan,,,Athlete,"Studied Biology at Al-Farabi Kazakh National University (Almaty, KAZ)",,"Kazakh, Russian",,"Took up judo because his brothers chose it when they moved to the city. Followed them and was captivated by the sport's beauty. ""I really liked what I saw. Athletes in white kimonos fighting, doing somersaults. I thought it was beautiful."" (judoinside.com, 12 May 2020)","Judoka Askhat Zhitkeyev (KAZ), 2008 Olympic -100kg silver medallist, 2001 World Championships bronze medallist",,"""I think that success in sports comes from hard work. Maybe some talent is also necessary but I believe hard work is the most important thing."" (judoinside.com, 12 May 2020)",,,
2024-07-27,Silver Medal,2.0,MKHEIDZE Luka,Male,FRA,France,France,France,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/fnl-000100--,1996-01-05,1891304,,MKHEIDZE Luka,MKHEIDZE L,Luka MKHEIDZE,Male,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Judo'],"['Men -60 kg', 'Mixed Team']",1996-01-05,TBILISI,Georgia,CHAMPIGNY-SUR-MARNE,France,,Hiking,Athlete,Culinary Studies,"Wife, Emma Russaouen","French, Georgian",National: Daniel Fernandes (FRA),He discovered judo on TV during the Athens 2004 Olympic Games,"Judoka Zurab Zviadauri (GEO), 2004 Olympic champion (-90kg), two-time world championship silver medallist (2001, 2003), 2000 World Junior champion",,"""I am the master of my own destiny."" (Athlete, 30 Jun 2024)",,,
2024-07-27,Bronze Medal,3.0,NAGAYAMA Ryuju,Male,JPN,Japan,Japan,Japan,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000100--,1996-04-15,1896752,,NAGAYAMA Ryuju,NAGAYAMA R,NAGAYAMA Ryuju,Male,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Judo'],"['Men -60 kg', 'Mixed Team']",1996-04-15,"BIBAI, HOKKAIDO",Japan,,Japan,,,Athlete,"Tokai University (Shibuya, JPN)","Wife, Shiori. One son",Japanese,,,,,,,,
2024-07-27,Bronze Medal,3.0,GARRIGOS Francisco,Male,ESP,Spain,Spain,Spain,,,Judo,Men -60 kg,HATH,/en/paris-2024/results/judo/men--60-kg/repf000200--,1994-12-09,1563544,,GARRIGOS Francisco,GARRIGOS F,Francisco GARRIGOS,Male,Athlete,ESP,Spain,Spain,Spain,Spain,ESP,0,0.0,['Judo'],['Men -60 kg'],1994-12-09,MÓSTOLES,Spain,MADRID,Spain,Fran,"Padel tennis, playing any kind of sport, spending time with the family, going to the cinema",Athlete,Graduated in 2022 with a Bachelor’s degree in Physical Education and Sports Sciences and Master’s degree in Management of Sports Entities,"Girlfriend, Ana Perez Box. Father, Francisco. Mother, Manuela. Sisters, Laura, Patricia","English, Spanish","National: Joaquin Ruiz Llorente (ESP), nicknamed Quino","Parents enrolled him. “I was quite a restless child and my parents decided to sign me up for judo to see if I would get tired and come home more relaxed.” (Athlete, 8 May 2024)","Tennis player Rafael Nadal (ESP), winner of 22 Grand Slam singles titles (as of July 2023), including a record 14 French Open titles; two-time Olympic champion (2008 singles, 2016 doubles).</p><p>Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze).</p><p>Sprinter Usain Bolt (JAM), eight-time Olympic champion (two in 2008, three in 2012, three in 2016);14-time world championship medallist (11 gold, two silver, one bronze)","""My family has always supported me in my training and helped me in everything I needed to try to achieve my dreams."" (Athlete, 8 May 2024)",,"Girlfriend, Ana Perez Box (judo), 2020 Olympian, 2021 World Championships silver medallist, 2018 Grand Prix winner",,
2024-07-27,Gold Medal,1.0,TSUNODA Natsumi,Female,JPN,Japan,Japan,Japan,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1992-08-06,1896735,,TSUNODA Natsumi,TSUNODA N,TSUNODA Natsumi,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0.0,['Judo'],"['Women -48 kg', 'Mixed Team']",1992-08-06,,Japan,,Japan,,,,,,Japanese,Yukihide Hirano (JPN),,,,,,,
2024-07-27,Silver Medal,2.0,BAVUUDORJ Baasankhuu,Female,MGL,Mongolia,Mongolia,Mongolia,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/fnl-000100--,1999-11-26,1914467,,BAVUUDORJ Baasankhuu,BAVUUDORJ B,Baasankhuu BAVUUDORJ,Female,Athlete,MGL,Mongolia,Mongolia,Mongolia,Mongolia,MGL,0,0.0,['Judo'],"['Women -48 kg', 'Mixed Team']",1999-11-26,MURUN CITY,Mongolia,KHUVSGUL,Mongolia,Big girl,"Singing, dancing",Athlete,"Sod Erdem secondary school 2019, now studying bachelor degree Ider University. (Athlete, 17 Jul 2024)","Partner, Bolor-Ochir Gereltuya. Father, Adiyasuren. Mother, Dagvadorj Tsoojdulam. Brother, Munkhbaatar. Sister, Baasanjargal","English, Mongolian",National: Khaliun Boldbaatar and Munkhbaatar Bundmaa,"She received a judogi with other young children by the Mongolian Judo federation, organised by the late State President Battulga Khaltmaa. (IJF, 19 May 2024)<br>""I was messing around with my friends in Mörön City and one day we tried judo instead of being all over the place.""",,"""My judo coach, family, sponsor company. They all supported me anywhere, anytime when I lose and win."" (Athlete, 17 Jul 2024)",,Her partner Bolor-Ochir Gereltuya has represented Mongolia in judo at World Cup level and won a bronze medal at the 2021 Grand Slam Paris -81kg. (JudoInside.com profile),,"Represented Mongolia in sambo at the world championships in 2018 and 2019. (SportsDeskOnline, 29 Apr 2022)"
2024-07-27,Bronze Medal,3.0,BOUKLI Shirine,Female,FRA,France,France,France,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000100--,1999-01-24,1891280,,BOUKLI Shirine,BOUKLI S,Shirine BOUKLI,Female,Athlete,FRA,France,France,France,France,FRA,0,0.0,['Judo'],"['Women -48 kg', 'Mixed Team']",1999-01-24,ARAMON,France,PARIS,France,Shishou,"Homework, playing with her dog, baking cakes, watching TV series and movies","Athlete, French military service",Studied physical education,,"English, French","National: Severine Vandenhende (FRA).<br>Personal: Kilian Leblouch, (FRA), Florent Urani, (FRA)","“I come from a judo family. My father, brothers and cousins all did judo. I remember receiving my kimono (judogi) for my fourth birthday. I was very keen on the sport straight away, both training and the competitions. Besides, I was a very energetic girl, so it allowed me to be calmer when I came home.” (judoinside.com, 9 Apr 2020)",,Always thanks her personal coach Kilian Le Blouch after her performances,"""You must believe in your dreams to make them real."" (Instagram, 6 Apr 2021)",,"“During competitions I always have my headphones from the beginning to the end, even before a semifinal or a final. I need them to be in my bubble. I only take them off when I enter judogi control. This ritual makes me feel confident.” (Coffee With Celine YouTube channel, 23 Feb 2020)",
2024-07-27,Bronze Medal,3.0,BABULFATH Tara,Female,SWE,Sweden,Sweden,Sweden,,,Judo,Women -48 kg,HATH,/en/paris-2024/results/judo/women--48-kg/repf000200--,2006-01-03,1571911,,BABULFATH Tara,BABULFATH T,Tara BABULFATH,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0.0,['Judo'],['Women -48 kg'],2006-01-03,STOCKHOLM,Sweden,STOCKHOLM,Sweden,Pippi (after fictional Swedish children's character Pippi Longstocking),"Riding horses, snowboarding. ""I like everything that goes fast and gives you an adrenaline kick."" (Athlete, 11 May 2024)","Athlete, student",Studying Economics and Law at Stockholms Idrottsgymnasium (SWE),"Father, Mohammad. Mother, Ida. Sister, Hanna. Brothers, Tiam and Philip","English, Farsi, Swedish",Personal: Ann Lof (SWE).<br>Club: Ulf Lindblom (SWE).<br>National: Jane Bridge (GBR) - 1980 world champion in -48kg class,"She comes from a wrestling family but her parents wanted to teach her a different sport. She immediately fell in love with judo. (YouTube, 18 Apr 2024)","Judoka Daria Bilodid (UKR), 2020 Olympic bronze medallist (-48kg), two-time world champion (2018, 2019).</p><p>Judoka Julia Figueroa (ESP), two-time Olympian (2016, 2020), 2021 World Championships -48kg bronze medallist","""My family is always supporting me. My best friends are my sister Hanna, and Isabella Eriksson Ghazinour. They help me a lot and are my training partners."" (YouTube, 18 Apr 2024)","""Dream big, the dream is free and you can do anything."" (YouTube, 18 Apr 2024)","Father, Mohammad Babulfath (wrestling), competed for Sweden in Greco-Roman at the Athens 2004 Olympic Games. He was Swedish national coach, 2010-2016. </p><p>Mother, Ida Hellstrom (wrestling), competed at international level.</p><p>Sister, Hanna Babulfath (judo), Swedish cadet champion in 2022",,Wrestling: Competed in freestyle wrestling when she was younger
2024-07-27,Gold Medal,1.0,MAERTENS Lukas,Male,GER,Germany,Germany,Germany,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2001-12-27,1907192,,MAERTENS Lukas,MAERTENS L,Lukas MAERTENS,Male,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0.0,['Swimming'],"[""Men's 200m Backstroke"", ""Men's 200m Freestyle"", ""Men's 400m Freestyle"", ""Men's 4 x 200m Freestyle Relay""]",2001-12-27,MAGDEBURG,Germany,MAGDEBURG,Germany,,,Athlete,,,German,Club: Bernd Berkhan (GER),,"Swimmer Paul Biedermann (GER), three-time Olympian (2008, 2012, 2016), seven-time world championship medallist (two gold, one silver, four bronze)",,,"Younger sister, Leonie Martens (swimming), won two silver medals at the 2023 European U23 Championships, 400m freestyle and 800m freestyle",,
2024-07-27,Silver Medal,2.0,WINNINGTON Elijah,Male,AUS,Australia,Australia,Australia,,,Swimming,Men's 400m Freestyle,ATH,/en/paris-2024/results/swimming/men-s-400m-freestyle/fnl-000100--,2000-05-05,1946172,,WINNINGTON Elijah,WINNINGTON E,Elijah WINNINGTON,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,0,0.0,['Swimming'],"[""Men's 400m Freestyle"", ""Men's 4 x 200m Freestyle Relay"", ""Men's 800m Freestyle""]",2000-05-05,"GOLD COAST, QLD",Australia,,Australia,"Lij, Lijo",,,"Studying Business at Bond University, Gold Coast (QLD, AUS)","Fiancee, Eve Lutze (engaged March 2024)",English,Club: Dean Boxall (AUS),"""My parents put me in the water when I was six months old and they said they couldn't get me out."" (myInfo)","Swimmer Mack Horton (AUS), two-time Olympic medallist (2016 gold, 2020 bronze), five-time world championship medallist (one gold, three silver, two bronze).</p><p>Swimmer Cameron McEvoy (AUS), three-time Olympic relay bronze medallist, nine-time world championship medallist (one gold, five silver, three bronze).</p><p>Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze).</p><p>Swimmer Ian Thorpe (AUS), nine-time Olympic medallist (five gold, three silver, one bronze). 13-time world championship medallist (11 gold, one silver, one bronze). First person to win six golds at a single world championships (2001). Set 13 individual world records",,"""Advance unafraid."" (myInfo)",,Before he steps onto the starting block he pumps his chest three times in the direction of his coach. At competitions he watches the cartoon 'Spongebob Squarepants' between heats and finals,
